SL No.,name,state,district,latitude ,longitude ,coalQty,electricityConsumed,transportation,deforestedArea,coal,electricity,fuel,transport,deforestation,carbonFootprint,description,image
1,Ningah Colliery ,West Bengal,Paschim Bardhaman,23.6743,87.0333,10000,240000,15,0.1,24.2,171.84,1.5,0.004005,0.05505,196.099055,UG,
2,Jhanjhara Project Colly,West Bengal,Paschim Bardhaman,23.668,87.2963,3500000,84000000,3505,35,8470,60144,350.5,0.935835,19.2675,68634.20334,UG,
3,"MAOHUSUDANPUR 7 PIT &
INCLINE",West Bengal,Paschim Bardhaman,23.6338,87.2037,40000,960000,45,0.4,96.8,687.36,4.5,0.012015,0.2202,784.392215,UG,
4, PARASCOLE(EAST) ,West Bengal,Paschim Bardhaman,23.6377,87.1951,100000,2400000,105,1,242,1718.4,10.5,0.028035,0.5505,1960.978535,UG,
5, PARASCOLE(WEST) ,West Bengal,Paschim Bardhaman,23.6405,87.1855,70000,1680000,75,0.7,169.4,1202.88,7.5,0.020025,0.38535,1372.685375,UG,
6,Jambad UG,West Bengal,Paschim Bardhaman,23.6517,87.1734,160000,3840000,165,1.6,387.2,2749.44,16.5,0.044055,0.8808,3137.564855,UG,
7,Khas Kajora,West Bengal,Paschim Bardhaman,23.6205,87.1926,170000,4080000,175,1.7,411.4,2921.28,17.5,0.046725,0.93585,3333.662575,UG,
8,Central Kajora,West Bengal,Paschim Bardhaman,23.6007,87.1874,70000,1680000,75,0.7,169.4,1202.88,7.5,0.020025,0.38535,1372.685375,UG,
9, NABAKJORA ,West Bengal,Paschim Bardhaman,23.6346,87.1793,60000,1440000,65,0.6,145.2,1031.04,6.5,0.017355,0.3303,1176.587655,UG,
10,Satgram Project,West Bengal,Paschim Bardhaman,23.6471,87.1594,40000,960000,45,0.4,96.8,687.36,4.5,0.012015,0.2202,784.392215,UG,
11,EGARA & NARAYANKURI UNDER MAHABIR COLLIERY,West Bengal,Paschim Bardhaman,23.57341,87.10873,80000,1920000,85,0.8,193.6,1374.72,8.5,0.022695,0.4404,1568.783095,UG,
12,Satgram Incline ,West Bengal,Paschim Bardhaman,23.6827,87.0703,30000,720000,35,0.3,72.6,515.52,3.5,0.009345,0.16515,588.294495,UG,
13,CHAPUIKHAS COLLIERY,West Bengal,Paschim Bardhaman,23.6545,87.0449,30000,720000,35,0.3,72.6,515.52,3.5,0.009345,0.16515,588.294495,UG,
14,J K NAGAR,West Bengal,Paschim Bardhaman,23.649,87.067,130000,3120000,135,1.3,314.6,2233.92,13.5,0.036045,0.71565,2549.271695,UG,
15,PURE SEARSOLE,West Bengal,Paschim Bardhaman,23.6457,87.0872,50000,1200000,55,0.5,121,859.2,5.5,0.014685,0.27525,980.489935,UG,
16, AMRITNAGAR ,West Bengal,Paschim Bardhaman,23.6155,87.086,100000,2400000,105,1,242,1718.4,10.5,0.028035,0.5505,1960.978535,UG,
17, KUNUSTORIA ,West Bengal,Paschim Bardhaman,23.6499,87.1302,110000,2640000,115,1.1,266.2,1890.24,11.5,0.030705,0.60555,2157.076255,UG,
18, PARASEA ,West Bengal,Paschim Bardhaman,23.6517,87.1629,160000,3840000,165,1.6,387.2,2749.44,16.5,0.044055,0.8808,3137.564855,UG,
19, BELBAID,West Bengal,Paschim Bardhaman,23.6577,87.141,60000,1440000,65,0.6,145.2,1031.04,6.5,0.017355,0.3303,1176.587655,UG,
20, KHANDRA ,West Bengal,Paschim Bardhaman,23.6414,87.2228,70000,1680000,75,0.7,169.4,1202.88,7.5,0.020025,0.38535,1372.685375,UG,
21, SHYAMSUNOERPUR ,West Bengal,Paschim Bardhaman,23.6483,87.2575,830000,19920000,835,8.3,2008.6,14262.72,83.5,0.222945,4.56915,16276.1121,UG,
22, KUMARDIH A ,West Bengal,Paschim Bardhaman,23.667,87.2625,90000,2160000,95,0.9,217.8,1546.56,9.5,0.025365,0.49545,1764.880815,UG,
23, TILABONI ,West Bengal,Paschim Bardhaman,23.6549,87.2821,150000,3600000,155,1.5,363,2577.6,15.5,0.041385,0.82575,2941.467135,UG,
24, SANKARPUR ,West Bengal,Paschim Bardhaman,23.6839,87.2382,270000,6480000,275,2.7,653.4,4639.68,27.5,0.073425,1.48635,5294.639775,UG,
