coalQty,elecConsump,transportation,deforestedArea,strategy_label
10000.0,240000.0,15.0,0.1,Estimate Carbon Credits
3500000.0,84000000.0,3505.0,35.0,"Switch to renewables,Adopt electric vehicles,Afforestation,Implement methane capture,Estimate Carbon Credits"
40000.0,960000.0,45.0,0.4,"Switch to renewables,Estimate Carbon Credits"
100000.0,2400000.0,105.0,1.0,"Switch to renewables,Adopt electric vehicles,Estimate Carbon Credits"
70000.0,1680000.0,75.0,0.7,"Switch to renewables,Estimate Carbon Credits"
160000.0,3840000.0,165.0,1.6,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
170000.0,4080000.0,175.0,1.7,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
70000.0,1680000.0,75.0,0.7,"Switch to renewables,Estimate Carbon Credits"
60000.0,1440000.0,65.0,0.6,"Switch to renewables,Estimate Carbon Credits"
40000.0,960000.0,45.0,0.4,"Switch to renewables,Estimate Carbon Credits"
80000.0,1920000.0,85.0,0.8,"Switch to renewables,Estimate Carbon Credits"
30000.0,720000.0,35.0,0.3,"Switch to renewables,Estimate Carbon Credits"
30000.0,720000.0,35.0,0.3,"Switch to renewables,Estimate Carbon Credits"
130000.0,3120000.0,135.0,1.3,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
50000.0,1200000.0,55.0,0.5,"Switch to renewables,Estimate Carbon Credits"
100000.0,2400000.0,105.0,1.0,"Switch to renewables,Adopt electric vehicles,Estimate Carbon Credits"
110000.0,2640000.0,115.0,1.1,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
160000.0,3840000.0,165.0,1.6,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
60000.0,1440000.0,65.0,0.6,"Switch to renewables,Estimate Carbon Credits"
70000.0,1680000.0,75.0,0.7,"Switch to renewables,Estimate Carbon Credits"
830000.0,19920000.0,835.0,8.3,"Switch to renewables,Adopt electric vehicles,Implement methane capture,Estimate Carbon Credits"
90000.0,2160000.0,95.0,0.9,"Switch to renewables,Estimate Carbon Credits"
